artigoEmPeriodico	 	2023	1899-2358	http://dx.doi.org/10.5506/APhysPolBSupp.16.1-A88	Effective Shear and Bulk Viscosities of the Quark-Gluon Plasma: QCD Versus Heavy-ion Data	ACTA PHYSICA POLONICA. B, PROCEEDINGS SUPPLEMENT	GARDIM, F.G.; OLLITRAULT, J.-Y.	B3	
artigoEmPeriodico	 	2023	0891-2513	http://dx.doi.org/10.25088/ComplexSystems.32.1.71	Spatial Scale Effects in COVID-19 Spread Models	COMPLEX SYSTEMS	GONZAGA, M. N. ; de OLIVEIRA, M. M. ; Atman, A. P. F.	B3	
artigoEmPeriodico	 	2023	0960-0779	http://dx.doi.org/10.1016/j.chaos.2023.114108	Immunity Agent-Based Model (IABM) for epidemiological systems	CHAOS SOLITONS & FRACTALS	GONZAGA, M.N. ; DE OLIVEIRA, M.M. ; ATMAN, A.P.F.	A1	
artigoEmPeriodico	 	2023	2164-6457	http://dx.doi.org/10.5890/JAND.2023.06.004	Anomalous heat diffusion in a boundary layer: A Fractionary Blasius?s System	JOURNAL OF APPLIED NONLINEAR DYNAMICS	MONTEIRO, T. B. ; ALMEIDA, A. C. L. ; OLIVEIRA, Adélcio Carlos de	B2	
artigoEmPeriodico	 	2023	1463-9076	http://dx.doi.org/10.1039/d2cp05004h	Frequency-resolved microscopic second-order hyperpolarizability of azochromophores: a study on nonlinear all-optical switching applications	PHYSICAL CHEMISTRY CHEMICAL PHYSICS	MOYSÉS, RENATO MAFRA ; BARBANO, EMERSON CRISTIANO ; DA SILVA, DANIEL LUIZ ; VIVAS, MARCELO GONÇALVES ; MISOGUTI, LINO	A1	
artigoEmPeriodico	 	2023	0003-2654	http://dx.doi.org/10.1039/D3AN01319G	Physicochemical properties of ultrasmall colloidal silver nanoparticles: an experimental and computational approach	ANALYST	PACHECO, PERLA GIOVANNA FERNANDES ; FERREIRA, DIEGO LOURENÇONI ; PEREIRA, RICHARD SILVEIRA ; VIVAS, MARCELO GONÇALVES	A1	
artigoEmPeriodico	 	2023	1570-1786	http://dx.doi.org/10.2174/1570178620666230811122313	In-Silico Identification of Dexamethasone-similar Compounds Against SARS-Cov-2 Spike Protein: A Drug Repurposing Approach	LETTERS IN ORGANIC CHEMISTRY	PATHAK, YAMINI ; TRIPATHI, VISHWAS ; Camps, Ihosvany ; QAIS, FAIZAN ABUL ; MISHRA, AMARESH	Qualis nao identificado	LETTERS IN ORGANIC CHEMISTRY
artigoEmPeriodico	 	2023	0031-8949	http://dx.doi.org/10.1088/1402-4896/acbdc8	Revisiting semiconductor bulk hamiltonians using quantum computers	PHYSICA SCRIPTA	PIMENTA, RAPHAEL CÉSAR DE SOUZA ; BEZERRA, Anibal Thiago	A4	
artigoEmPeriodico	 	2023	0375-9601	http://dx.doi.org/10.1016/j.physleta.2023.129097	Quantum roughness as sensitivity to diffusion noise: Quantifying non-classicality of multi-mode systems	PHYSICS LETTERS A	ROMERO, K. Fonseca ; REIS, M. ; OLIVEIRA, Adélcio Carlos de	A3	
artigoEmPeriodico	 	2023	1463-9076	http://dx.doi.org/10.1039/d2cp05189c	Unveiling the molecular structure and two-photon absorption properties relationship of branched oligofluorenes	PHYSICAL CHEMISTRY CHEMICAL PHYSICS	ZUCOLOTTO COCCA, LEANDRO H. ; PELOSI, ANDRÉ GASPAROTTO ; ABEGÃO, LUIS M. G. ; DE Q. GARCIA, RAFAEL ; MULATIER, JEAN-CHRISTOPHE ; PITRAT, DELPHINE ; BARSU, CYRILLE ; ANDRAUD, CHANTAL ; MENDONÇA, CLEBER R. ; Vivas, Marcelo G. ; DE BONI, Leonardo	A1	
