artigoEmPeriodico	 	2021		http://dx.doi.org/10.3934/mbe.2021467	Classification of gastric emptying and orocaecal transit through artificial neural networks	MATHEMATICAL BIOSCIENCES AND ENGINEERING (ONLINE)	BEZERRA, Anibal Thiago; INSTITUTE OF EXACT SCIENCES, FEDERAL UNIVERSITY OF ALFENAS-MG (UNIFAL-MG), ALFENAS-MG 37133-840, BRAZIL ; PINTO, LEONARDO ANTONIO ; RODRIGUES, DIEGO SAMUEL ; BITTENCOURT, GABRIELA NOGUEIRA ; DE ARRUDA MANCERA, PAULO FERNANDO ; DE ARRUDA MIRANDA, JOSÉ RICARDO ; INSTITUTE OF BIOSCIENCES, SÃO PAULO STATE UNIVERSITY (UNESP), BOTUCATU-SP 18618-689, BRAZIL ; SCHOOL OF TECHNOLOGY, UNIVERSITY OF CAMPINAS (UNICAMP), LIMEIRA-SP 13484-332, BRAZIL	A4	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.33448/rsd-v10i15.22946	Produção e consumo de energia elétrica fotovoltaica: um aplicativo destinado ao ensino de Física e ao debate sobre a matriz energética	RESEARCH, SOCIETY AND DEVELOPMENT	CRUZ JUNIOR, A. C. ; SOLTAU, S. B.	C	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.1016/j.jallcom.2020.157772	Defect induced room temperature ferromagnetism in high quality Co-doped ZnO bulk samples	JOURNAL OF ALLOYS AND COMPOUNDS	DE GODOY, M.P.F. ; GRATENS, X. ; CHITTA, V.A. ; MESQUITA, A. ; DE LIMA, M.M. ; CANTARERO, A. ; RAHMAN, G. ; MORBEC, J.M. ; DE CARVALHO, H.B.	A1	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.1007/s11191-021-00279-y	Multivariate and Longitudinal Profile of Brazilian Journals on Science Education from 2013 to 2019	Science & Education	FERREIRA, ERIC BATISTA ; TOTI, FREDERICO AUGUSTO	A1	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.33448/rsd-v10i3.13495	Física solar: uma experiência de ensino remoto durante a pandemia	RESEARCH, SOCIETY AND DEVELOPMENT	GARCIA, B. F. ; SOLTAU, S. B.	C	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.26512/rpf.v5i1	O estudo da cinemática com o jogo Cinefut e o sensor de movimento Kinect	Revista do Professor de Física	JUSTINIANO, ARTUR; PEREIRA, A. F. ; REIS, T. H. ; BRESSAN, P.	C	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.1016/j.biopha.2021.111356	Repurposing potential of Ayurvedic medicinal plants derived active principles against SARS-CoV-2 associated target proteins revealed by molecular docking, molecular dynamics and MM-PBSA studies	BIOMEDICINE & PHARMACOTHERAPY	KUMAR VERMA, AKALESH ; KUMAR, VIKAS ; SINGH, SWETA ; GOSWAMI, BHABESH CH. ; Camps, Ihosvany ; SEKAR, AISHWARYA ; YOON, SANGHWA ; LEE, KEUN WOO	A2	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.1016/j.jallcom.2020.158320	Influence of reducing heat treatment on the structural and magnetic properties of MnO:ZnO ceramics	JOURNAL OF ALLOYS AND COMPOUNDS	LAGE, V.M. ALMEIDA ; DA SILVA, R.T. ; MESQUITA, A. ; DE GODOY, M.P.F. ; GRATENS, X. ; CHITTA, V.A. ; DE CARVALHO, H.B.	A1	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.1016/j.apsusc.2021.151547	First-principles calculations of nickel, cadmium, and lead nanoclusters adsorption on single-wall (10,0) boron-nitride nanotube	APPLIED SURFACE SCIENCE	MADEIRA, R. ; Camps, I.	A1	
artigoEmPeriodico	 	2021			Construção e aplicação do gerador de Van de Graaff de baixo custo nas aulas de Física no ensino médio com participação dos estudantes	REVISTA DE ENSEÑANZA DE LA FÍSICA (ONLINE)	MORAIS, I. N. ; TOTI, F. A.	A3	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.1016/j.rinp.2021.104655	Symmetries in cavity models: Beyond the rotating wave approximation	Results in Physics	NAKAMURA, GILBERTO MEDEIROS ; ARRUDA, TIAGO JOSÉ ; MARTINEZ, ALEXANDRE SOUTO	A4	
artigoEmPeriodico	 	2021		http://dx.doi.org/10.13102/sscf.v17i0.7385	Analysis of Cycloid features by video analysis	Sitientibus Série Ciências Física	OLIVEIRA, R. P. R. ; SOLTAU, S. B.	Qualis nao identificado	SITIENTIBUS SÉRIE CIÊNCIAS FÍSICA
artigoEmPeriodico	 	2021			Leveraging Qiskit to teach basic quantum computation algorithms.	Parana Journal of Science and Education	Pimenta, R. C. S. ; BEZERRA, Anibal Thiago	Qualis nao identificado	PARANA JOURNAL OF SCIENCE AND EDUCATION
