artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1051/0004-6361/202346845	Monitoring the large-scale magnetic field of AD Leo with SPIRou, ESPaDOnS, and Narval	ASTRONOMY & ASTROPHYSICS	BELLOTTI, S. ; Morin, J. ; LEHMANN, L. T. ; FOLSOM, C. P. ; HUSSAIN, G. A. J. ; PETIT, P. ; Donati, J.-F. ; LAVAIL, A. ; Carmona, A. ; MARTIOLI, E. ; ROMANO ZAIRE, B. ; ALECIAN, E. ; MOUTOU, C. ; Fouqué, P. ; Alencar, S. ; ARTIGAU, E. ; Boisse, I. ; Bouchy, F. ; CADIEUX, C. ; CLOUTIER, R.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1093/mnras/stad1193	The magnetic field and multiple planets of the young dwarf AU Mic	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	DONATI, J-F ; CRISTOFARI, P I ; FINOCIETY, B ; KLEIN, B ; MOUTOU, C ; GAIDOS, E ; CADIEUX, C ; ARTIGAU, E ; CORREIA, A C M ; BOUÉ, G ; COOK, N J ; CARMONA, A ; LEHMANN, L T ; BOUVIER, J ; MARTIOLI, E ; MORIN, J ; FOUQUÉ, P ; DELFOSSE, X ; DOYON, R ; HÉBRARD, G	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1051/0004-6361/202245832	Homogeneous search for helium in the atmosphere of 11 gas giant exoplanets with SPIRou	ASTRONOMY & ASTROPHYSICS	ALLART, R. ; LEMÉE-JOLIECOEUR, P.-B. ; JAZIRI, A. Y. ; LAFRENIÈRE, D. ; ARTIGAU, E. ; COOK, N. ; DARVEAU-BERNIER, A. ; DANG, L. ; CADIEUX, C. ; BOUCHER, A. ; BOURRIER, V. ; DEIBERT, E. K. ; PELLETIER, S. ; RADICA, M. ; BENNEKE, B. ; Carmona, A. ; CLOUTIER, R. ; COWAN, N. B. ; DELFOSSE, X. ; MARTIOLI, E.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1051/0004-6361/202346813	Characterizing planetary systems with SPIRou: M-dwarf planet-search survey and the multiplanet systems GJ 876 and GJ 1148	ASTRONOMY & ASTROPHYSICS	MOUTOU, C. ; DELFOSSE, X. ; PETIT, A. C. ; Donati, J.-F. ; ARTIGAU, E. ; Fouqué, P. ; Carmona, A. ; OULD-ELHKIM, M. ; ARNOLD, L. ; COOK, N. J. ; CADIEUX, C. ; BELLOTTI, S. ; Boisse, I. ; Bouchy, F. ; CHARPENTIER, P. ; CORTÉS-ZULETA, P. ; Doyon, R. ; Hébrard, G. ; MARTIOLI, E. ; Morin, J.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.3847/1538-3881/acfda8	Validating AU Microscopii d with Transit Timing Variations	ASTRONOMICAL JOURNAL	WITTROCK, JUSTIN M. ; PLAVCHAN, PETER P. ; CALE, BRYSON L. ; BARCLAY, THOMAS ; LUDWIG, MATHIS R. ; SCHWARZ, RICHARD P. ; MÉKARNIA, DJAMEL ; J. TRIAUD, AMAURY H. M. ; ABE, LYU ; SUAREZ, OLGA ; GUILLOT, TRISTAN ; CONTI, DENNIS M. ; COLLINS, KAREN A. ; WAITE, IAN A. ; KIELKOPF, JOHN F. ; COLLINS, KEVIN I. ; DREIZLER, STEFAN ; EL MUFTI, MOHAMMED ; FELIZ, DAX L. ; MARTIOLI, E.	A1	THE ASTRONOMICAL JOURNAL
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1093/mnras/stad2607	ATMOSPHERIX: I- an open source high-resolution transmission spectroscopy pipeline for exoplanets atmospheres with SPIRou	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	KLEIN, BAPTISTE ; DEBRAS, FLORIAN ; DONATI, JEAN-FRANÇOIS ; HOOD, THEA ; MOUTOU, CLAIRE ; CARMONA, ANDRES ; OULD-ELKHIM, MERWAN ; BÉZARD, BRUNO ; CHARNAY, BENJAMIN ; FOUQUÉ, PASCAL ; MASSON, ADRIEN ; VINATIER, SANDRINE ; BARUTEAU, CLÉMENT ; BOISSE, ISABELLE ; BONFILS, XAVIER ; CHIAVASSA, ANDREA ; DELFOSSE, XAVIER ; DETHIER, WILLIAM ; HEBRARD, GUILLAUME ; MARTIOLI, E.	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1093/mnras/stad2608	ATMOSPHERIX: II- Characterizing exoplanet atmospheres through transmission spectroscopy with SPIRou	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	DEBRAS, FLORIAN ; KLEIN, BAPTISTE ; DONATI, JEAN-FRANÇOIS ; HOOD, THEA ; MOUTOU, CLAIRE ; CARMONA, ANDRES ; CHARNAY, BENJAMIN ; BÉZARD, BRUNO ; FOUQUÉ, PASCAL ; MASSON, ADRIEN ; VINATIER, SANDRINE ; BARUTEAU, CLÉMENT ; BOISSE, ISABELLE ; BONFILS, XAVIER ; CHIAVASSA, ANDREA ; DELFOSSE, XAVIER ; HEBRARD, GUILLAUME ; LECONTE, JÉRÉMY ; Martioli, Eder ; OULD-ELKHIM, MERWAN	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.3847/1538-3881/ad00bc	Giant Outer Transiting Exoplanet Mass (GOT ?EM) Survey. III. Recovery and Confirmation of a Temperate, Mildly Eccentric, Single-transit Jupiter Orbiting TOI-2010	ASTRONOMICAL JOURNAL	MANN, CHRISTOPHER R. ; DALBA, PAUL A. ; LAFRENIÈRE, DAVID ; FULTON, BENJAMIN J. ; HÉBRARD, GUILLAUME ; BOISSE, ISABELLE ; DALAL, SHWETA ; DELEUIL, MAGALI ; DELFOSSE, XAVIER ; DEMANGEON, OLIVIER ; FORVEILLE, THIERRY ; HEIDARI, NEDA ; KIEFER, FLAVIEN ; Martioli, Eder ; MOUTOU, CLAIRE ; ENDL, MICHAEL ; COCHRAN, WILLIAM D. ; MACQUEEN, PHILLIP ; MARCHIS, FRANCK ; DRAGOMIR, DIANA	A1	THE ASTRONOMICAL JOURNAL
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.3847/1538-4357/ad077e	SPLUS J142445.34-254247.1: An r-process-enhanced, Actinide-boost, Extremely Metal-poor Star Observed with GHOST	The Astrophysical Journal	PLACCO, VINICIUS M. ; ALMEIDA-FERNANDES, FELIPE ; HOLMBECK, ERIKA M. ; ROEDERER, IAN U. ; MARDINI, MOHAMMAD K. ; HAYES, CHRISTIAN R. ; VENN, KIM ; CHIBOUCAS, KRISTIN ; DEIBERT, EMILY ; GAMEN, ROBERTO ; HEO, JEONG-EUN ; JEONG, MIJI ; KALARI, VENU ; Martioli, Eder ; XU, SIYI ; DIAZ, RUBEN ; GOMEZ-JIMENEZ, MANUEL ; HENDERSON, DAVID ; PRADO, PABLO ; QUIROZ, CARLOS	A1	
artigoEmPeriodico	Eder Martioli	2023		http://dx.doi.org/10.1093/mnras/stad3673	Probing the early Milky Way with GHOST spectra of an extremely metal-poor star in the Galactic disc	MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY	DOVGAL, ANYA ; VENN, KIM A ; SESTITO, FEDERICO ; HAYES, CHRISTIAN R ; MCCONNACHIE, ALAN W ; NAVARRO, JULIO F ; PLACCO, VINICIUS M ; STARKENBURG, ELSE ; MARTIN, NICOLAS F ; PAZDER, JOHN S ; CHIBOUCAS, KRISTIN ; DEIBERT, EMILY ; GAMEN, ROBERTO ; HEO, JEONG-EUN ; KALARI, VENU M ; Martioli, Eder ; XU, SIYI ; DIAZ, RUBEN ; GOMEZ-JIMENEZ, MANUEL ; HENDERSON, DAVID	A1	
