ISSN	Título	Estrato	Classificação
0947-8396	APPLIED PHYSICS. A, MATERIALS SCIENCE & PROCESSING (PRINT)	A3	Atualizado
0946-2171	APPLIED PHYSICS. B, LASERS AND OPTICS (PRINT)	A2	Atualizado
0003-6951	APPLIED PHYSICS LETTERS	A1	Atualizado
1077-3118	APPLIED PHYSICS LETTERS	A1	Atualizado
0969-8043	APPLIED RADIATION AND ISOTOPES	A2	Atualizado
2076-3417	APPLIED SCIENCES	A3	Atualizado
0003-7028	APPLIED SPECTROSCOPY	A2	Atualizado
0169-4332	APPLIED SURFACE SCIENCE	A1	Atualizado
2238-3905	APRENDIZAGEM SIGNIFICATIVA EM REVISTA	B1	Atualizado
2352-5134	AQUACULTURE REPORTS	A2	Atualizado
0166-445X	AQUATIC TOXICOLOGY	A1	Atualizado
2193-567X	ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING (IMPRESSO)	A2	Atualizado
1878-5352	ARABIAN JOURNAL OF CHEMISTRY	A1	Atualizado
1866-7511	ARABIAN JOURNAL OF GEOSCIENCES (PRINT)	A4	Atualizado
1132-6891	ARCHAEOFAUNA	B2	Atualizado
0003-813X	ARCHAEOMETRY (OXFORD)	A1	Atualizado
0003-9861	ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS (PRINT)	A2	Atualizado
0090-4341	ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY (PRINT)	A3	Atualizado
2595-2544	ARCHIVES OF HEAD AND NECK SURGERY	B4	Atualizado
1520-6327	ARCHIVES OF INSECT BIOCHEMISTRY AND PHYSIOLOGY	A3	Atualizado
1897-2764	ARCHIVES OF MATERIALS SCIENCE AND ENGINEERING	B2	Atualizado
0003-9993	ARCHIVES OF PHYSICAL MEDICINE AND REHABILITATION (PRINT)	A1	Atualizado
1984-7505	ARETÉ (MANAUS)	A1	Atualizado
1551-7012	ARKIVOC (ONLINE)	B3	Atualizado
1989-4104	ARQUEOLOGÍA IBEROAMERICANA.	A1	Atualizado
0102-0935	ARQUIVO BRASILEIRO DE MEDICINA VETERINÁRIA E ZOOTECNIA	B1	Atualizado
0066-782X	ARQUIVOS BRASILEIROS DE CARDIOLOGIA (IMPRESSO)	B2	Atualizado
1980-959X	ARQUIVOS DO MUDI	B3	Atualizado
2169-141X	ARTIFICIAL CELLS, NANOMEDICINE, AND BIOTECHNOLOGY	A2	Atualizado
0160-564X	ARTIFICIAL ORGANS	A4	Atualizado
2395-4205	ASIAN JOURNAL OF MATHEMATICS AND COMPUTER RESEARCH	B4	Atualizado
2455-3891	ASIAN JOURNAL OF PHARMACEUTICAL AND CLINICAL RESEARCH	C	Atualizado
