ISSN	Título	Estrato	Classificação
0269-7653	EVOLUTIONARY ECOLOGY	A2	Atualizado
2526-9259	EXAMEN: PESQUISA EM AVALIAÇÃO, CERTIFICAÇÃO E SELEÇÃO	B2	Atualizado
2178-0471	EXATAS ONLINE - REVISTA CIENTÍFICA DO DEPARTAMENTO DE QUÍMICA E EXATAS	B1	Atualizado
1982-2413	EXPERIÊNCIAS EM ENSINO DE CIÊNCIAS (UFRGS)	B1	Atualizado
0014-4800	EXPERIMENTAL AND MOLECULAR PATHOLOGY (PRINT)	A2	Atualizado
1572-9508	EXPERIMENTAL ASTRONOMY (ELECTRONIC)	A4	Atualizado
0922-6435	EXPERIMENTAL ASTRONOMY (PRINT)	A4	Atualizado
0014-4827	EXPERIMENTAL CELL RESEARCH	A4	Atualizado
0014-4894	EXPERIMENTAL PARASITOLOGY	A4	Atualizado
1478-7210	EXPERT REVIEW OF ANTI-INFECTIVE THERAPY	A2	Atualizado
0957-4174	EXPERT SYSTEMS WITH APPLICATIONS	A1	Atualizado
1414-4190	EXPRESSA EXTENSÃO (UFPEL)	B3	Atualizado
2358-7180	EXTENSÃO EM FOCO	B3	Atualizado
1431-0651	EXTREMOPHILES (TOKYO. PRINT)	A4	Atualizado
0972-0960	FAR EAST JOURNAL OF APPLIED MATHEMATICS	B4	Atualizado
1359-6640	FARADAY DISCUSSIONS	A3	Atualizado
0014-5793	FEBS LETTERS (PRINT)	A2	Atualizado
0378-1097	FEMS MICROBIOLOGY LETTERS	B1	Atualizado
1982-8977	FENOMENOLOGIA E DIREITO - CADERNOS DA ESCOLA DA MAGISTRATURA REGIONAL FEDERAL DA 2ª REGIÃO - EMARF	B3	Atualizado
0015-0193	FERROELECTRICS (PRINT)	B2	Atualizado
0177-7963	FEW-BODY SYSTEMS	B1	Atualizado
1432-5411	FEW-BODY SYSTEMS (ONLINE)	B1	Atualizado
0146-8030	FIBER AND INTEGRATED OPTICS (PRINT)	B1	Atualizado
2079-6439	FIBERS	A4	Atualizado
1229-9197	FIBERS AND POLYMERS	A2	Atualizado
2178-6224	FILOSOFIA E HISTÓRIA DA BIOLOGIA	A3	Atualizado
2717-5677	FINE CHEMICAL ENGINEERING	C	Atualizado
1050-4648	FISH & SHELLFISH IMMUNOLOGY (PRINT)	A1	Atualizado
0920-1742	FISH PHYSIOLOGY AND BIOCHEMISTRY	A3	Atualizado
0367-326X	FITOTERAPIA (MILANO)	A4	Atualizado
2452-2627	FLATCHEM	A1	Atualizado
2058-8585	FLEXIBLE AND PRINTED ELECTRONICS	A2	Atualizado
0367-2530	FLORA (JENA)	A3	Atualizado
2179-8087	FLORAM	B3	Atualizado
1982-4688	FLORESTA (ONLINE) (CURITIBA)	B2	Atualizado
0169-5983	FLUID DYNAMICS RESEARCH	A4	Atualizado
0378-3812	FLUID PHASE EQUILIBRIA	A1	Atualizado
2042-6496	FOOD & FUNCTION	A2	Atualizado
1936-9751	FOOD ANALYTICAL METHODS (PRINT)	A1	Atualizado
1935-5130	FOOD AND BIOPROCESS TECHNOLOGY (PRINT)	A1	Atualizado
0960-3085	FOOD AND BIOPRODUCTS PROCESSING	A1	Atualizado
0278-6915	FOOD AND CHEMICAL TOXICOLOGY	A1	Atualizado
1557-1858	FOOD BIOPHYSICS	A2	Atualizado
2212-4292	FOOD BIOSCIENCE	A2	Atualizado
0308-8146	FOOD CHEMISTRY	A1	Atualizado
0956-7135	FOOD CONTROL	A1	Atualizado
0268-005X	FOOD HYDROCOLLOIDS	A1	Atualizado
2214-2894	FOOD PACKAGING AND SHELF LIFE	A2	Atualizado
0963-9969	FOOD RESEARCH INTERNATIONAL	A1	Atualizado
0101-2061	FOOD SCIENCE & TECHNOLOGY (IMPRESSO)	B1	Atualizado
2213-3291	FOOD STRUCTURE	A3	Atualizado
1330-9862	FOOD TECHNOLOGY AND BIOTECHNOLOGY	A3	Atualizado
2304-8158	FOODS	A2	Atualizado
2468-1709	FORENSIC CHEMISTRY	A1	Atualizado
0379-0738	FORENSIC SCIENCE INTERNATIONAL	A2	Atualizado
0015-8208	FORTSCHRITTE DER PHYSIK (BERLIN. WILEY-VCH)	A3	Atualizado
0015-9018	FOUNDATIONS OF PHYSICS	A4	Atualizado
1233-1821	FOUNDATIONS OF SCIENCE (PRINT)	A2	Atualizado
2504-3110	FRACTAL AND FRACTIONAL	B2	Atualizado
0218-348X	FRACTALS (SINGAPORE)	A1	Atualizado
0891-5849	FREE RADICAL BIOLOGY & MEDICINE	A1	Atualizado
1873-4596	FREE RADICAL BIOLOGY AND MEDICINE	A1	Atualizado
1071-5762	FREE RADICAL RESEARCH	A4	Atualizado
0046-5070	FRESHWATER BIOLOGY (PRINT)	A1	Atualizado
2238-8869	FRONTEIRAS: JOURNAL OF SOCIAL, TECHNOLOGICAL AND ENVIRONMENTAL SCIENCE	A4	Atualizado
2325-6796	FRONTIERS IN AEROSPACE ENGINEERING (FAE)	C	Atualizado
1663-4365	FRONTIERS IN AGING NEUROSCIENCE	A2	Atualizado
2296-987X	FRONTIERS IN ASTRONOMY AND SPACE SCIENCES	B1	Atualizado
2296-4185	FRONTIERS IN BIOENGINEERING AND BIOTECHNOLOGY	A3	Atualizado
2296-634X	FRONTIERS IN CELL AND DEVELOPMENTAL BIOLOGY	A2	Atualizado
2235-2988	FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY	A2	Atualizado
2296-2646	FRONTIERS IN CHEMISTRY	A3	Atualizado
1662-5188	FRONTIERS IN COMPUTATIONAL NEUROSCIENCE	A3	Atualizado
1664-8021	FRONTIERS IN GENETICS	A4	Atualizado
1662-5161	FRONTIERS IN HUMAN NEUROSCIENCE	A2	Atualizado
1664-3224	FRONTIERS IN IMMUNOLOGY (ONLINE)	A2	Atualizado
2296-7745	FRONTIERS IN MARINE SCIENCE	A2	Atualizado
2296-8016	FRONTIERS IN MATERIALS	A3	Atualizado
2297-3079	FRONTIERS IN MECHANICAL ENGINEERING	C	Atualizado
2296-858X	FRONTIERS IN MEDICINE	A1	Atualizado
1664-302X	FRONTIERS IN MICROBIOLOGY (ONLINE)	A2	Atualizado
2296-889X	FRONTIERS IN MOLECULAR BIOSCIENCES	A2	Atualizado
1662-5099	FRONTIERS IN MOLECULAR NEUROSCIENCE	A3	Atualizado
1662-453X	FRONTIERS IN NEUROSCIENCE	A3	Atualizado
2234-943X	FRONTIERS IN ONCOLOGY	A4	Atualizado
1663-9812	FRONTIERS IN PHARMACOLOGY	A2	Atualizado
0429-7725	FRONTIERS IN PHYSICS	B1	Atualizado
2296-424X	FRONTIERS IN PHYSICS	B1	Atualizado
1664-042X	FRONTIERS IN PHYSIOLOGY	A2	Atualizado
1664-462X	FRONTIERS IN PLANT SCIENCE	A1	Atualizado
1664-1078	FRONTIERS IN PSYCHOLOGY	A1	Atualizado
2296-2565	FRONTIERS IN PUBLIC HEALTH	A1	Atualizado
2673-5067	FRONTIERS IN SENSORS	C	Atualizado
1662-5137	FRONTIERS IN SYSTEMS NEUROSCIENCE	A1	Atualizado
2095-9184	FRONTIERS OF INFORMATION TECHNOLOGY & ELECTRONIC ENGINEERING (IMPRESSO)	A4	Atualizado
2095-2767	FRONTIERS OF OPTOELECTRONICS	A4	Atualizado
2095-0470	FRONTIERS OF PHYSICS (ONLINE)	A4	Atualizado
0016-2361	FUEL (GUILDFORD)	A1	Atualizado
1536-383X	FULLERENES, NANOTUBES, AND CARBON NANOSTRUCTURES	B1	Atualizado
1438-793X	FUNCTIONAL & INTEGRATIVE GENOMICS (PRINT)	A3	Atualizado
0269-8463	FUNCTIONAL ECOLOGY (PRINT)	A1	Atualizado
0169-2968	FUNDAMENTA INFORMATICAE	A1	Atualizado
0920-3796	FUSION ENGINEERING AND DESIGN	A2	Atualizado
1756-8919	FUTURE MEDICINAL CHEMISTRY	A2	Atualizado
1746-0913	FUTURE MICROBIOLOGY (PRINT)	A3	Atualizado
1981-1268	GAIA SCIENTIA (UFPB)	B1	Atualizado
0966-6362	GAIT & POSTURE	A2	Atualizado
2075-4434	GALAXIES — OPEN ACCESS COSMOLOGY, ASTRONOMY & ASTROPHYSICS JOURNAL	B1	Atualizado
2073-4336	GAMES	B1	Atualizado
0367-3561	GAZETA DE FÍSICA	B1	Atualizado
0001-7701	GENERAL RELATIVITY AND GRAVITATION	A4	Atualizado
1678-4685	GENETICS AND MOLECULAR BIOLOGY (ONLINE VERSION)	A3	Atualizado
1467-4866	GEOCHEMICAL TRANSACTIONS	A3	Atualizado
1525-2027	GEOCHEMISTRY, GEOPHYSICS, GEOSYSTEMS	A1	Atualizado
0016-7037	GEOCHIMICA ET COSMOCHIMICA ACTA	A1	Atualizado
1980-900X	GEOCIÊNCIAS (SÃO PAULO. ONLINE)	B2	Atualizado
0016-7061	GEODERMA (AMSTERDAM)	A1	Atualizado
2352-0094	GEODERMA REGIONAL	A3	Atualizado
1517-7793	GEOGRAPHIA (UFF)	A1	Atualizado
0072-1050	GEOLOGICAL JOURNAL (CHICHESTER)	A3	Atualizado
0016-7606	GEOLOGICAL SOCIETY OF AMERICA BULLETIN	A1	Atualizado
0091-7613	GEOLOGY (BOULDER, COLO.)	A1	Atualizado
0094-8276	GEOPHYSICAL RESEARCH LETTERS	A1	Atualizado
0016-8033	GEOPHYSICS	A1	Atualizado
1674-9871	GEOSCIENCE FRONTIERS	A1	Atualizado
2076-3263	GEOSCIENCES	A4	Atualizado
1991-9603	GEOSCIENTIFIC MODEL DEVELOPMENT	A1	Atualizado
1991-962X	GEOSCIENTIFIC MODEL DEVELOPMENT DISCUSSIONS	C	Atualizado
1639-4488	GEOSTANDARDS AND GEOANALYTICAL RESEARCH	A1	Atualizado
2177-5230	GEOSUL	A2	Atualizado
2175-5604	GERMINAL: MARXISMO E EDUCAÇÃO EM DEBATE	A2	Atualizado
1098-1136	GLIA (ONLINE)	A1	Atualizado
0886-6236	GLOBAL BIOGEOCHEMICAL CYCLES	A1	Atualizado
1354-1013	GLOBAL CHANGE BIOLOGY (PRINT)	A1	Atualizado
2346-4712	GÓNDOLA, ENSEÑANZA Y APRENDIZAJE DE LAS CIENCIAS	A3	Atualizado
1080-5370	GPS SOLUTIONS (HEIDELBERG)	A1	Atualizado
1434-5021	GRANULAR MATTER (PRINT)	A3	Atualizado
2365-631X	GRAPHENE TECHNOLOGY	C	Atualizado
0017-3495	GRASAS Y ACEITES (SEVILLA)	B1	Atualizado
0202-2893	GRAVITATION & COSMOLOGY (PRINT)	B2	Atualizado
1751-8253	GREEN CHEMISTRY LETTERS AND REVIEWS	A2	Atualizado
1463-9270	GREEN CHEMISTRY (ON OLINE)	A1	Atualizado
1463-9262	GREEN CHEMISTRY (PRINT)	A1	Atualizado
2352-801X	GROUNDWATER FOR SUSTAINABLE DEVELOPMENT	A2	Atualizado
2468-0672	HARDWAREX	A4	Atualizado
0017-9078	HEALTH PHYSICS (1958)	B2	Atualizado
0947-7411	HEAT AND MASS TRANSFER	A2	Atualizado
2405-8440	HELIYON	A4	Atualizado
0018-1439	HIGH ENERGY CHEMISTRY	B3	Atualizado
0895-7959	HIGH PRESSURE RESEARCH	B1	Atualizado
0213-3911	HISTOLOGY AND HISTOPATHOLOGY	A3	Atualizado
0104-5970	HISTÓRIA, CIÊNCIAS, SAÚDE-MANGUINHOS (IMPRESSO)	A1	Atualizado
2178-2911	HISTÓRIA DA CIÊNCIA E ENSINO: CONSTRUINDO INTERFACES	A4	Atualizado
1414-6312	HISTÓRIA REVISTA	A2	Atualizado
1193-1981	HISTORICAL STUDIES (OTTAWA. 1990)	C	Atualizado
0073-2753	HISTORY OF SCIENCE	A3	Atualizado
2652-2837	HISTORY, PHILOSOPHY AND SCIENCE TEACHING NEWSLETTE	B3	Atualizado
0959-6836	HOLOCENE (SEVENOAKS)	A1	Atualizado
1519-8634	HOLOS ENVIRONMENT (ONLINE)	B4	Atualizado
1807-1600	HOLOS (NATAL. ONLINE)	A1	Atualizado
1475-4916	HOMEOPATHY (EDINBURGH. PRINT)	A2	Atualizado
1080-7039	HUMAN AND ECOLOGICAL RISK ASSESSMENT	A3	Atualizado
0340-6717	HUMAN GENETICS	A1	Atualizado
1473-9542	HUMAN GENOMICS	A4	Atualizado
2164-5515	HUMAN VACCINES & IMMUNOTHERAPEUTICS	A3	Atualizado
2358-8322	HUMANIDADES & INOVAÇÃO	B2	Atualizado
0304-3843	HYPERFINE INTERACTIONS	B2	Atualizado
0019-1035	ICARUS (NEW YORK, N.Y. 1962)	A2	Atualizado
1054-3139	ICES JOURNAL OF MARINE SCIENCE (PRINT)	A1	Atualizado
2169-3536	IEEE ACCESS	A3	Atualizado
1045-9243	IEEE ANTENNAS & PROPAGATION MAGAZINE	A2	Atualizado
0741-3106	IEEE ELECTRON DEVICE LETTERS (PRINT)	A1	Atualizado
2156-3381	IEEE JOURNAL OF PHOTOVOLTAICS	A1	Atualizado
1939-1404	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	A1	Atualizado
1077-260X	IEEE JOURNAL OF SELECTED TOPICS IN QUANTUM ELECTRONICS	A1	Atualizado
2168-2372	IEEE JOURNAL OF TRANSLATIONAL ENGINEERING IN HEALTH AND MEDICINE	A4	Atualizado
1943-0655	IEEE PHOTONICS JOURNAL	A2	Atualizado
1041-1135	IEEE PHOTONICS TECHNOLOGY LETTERS	A2	Atualizado
1530-437X	IEEE SENSORS JOURNAL	A1	Atualizado
1558-1748	IEEE SENSORS JOURNAL	A1	Atualizado
1557-9603	IEEE TRANSACTIONS ON AEROSPACE AND ELECTRONIC SYSTEMS	A1	Atualizado
0018-926X	IEEE TRANSACTIONS ON ANTENNAS AND PROPAGATION (PRINT)	A1	Atualizado
1051-8223	IEEE TRANSACTIONS ON APPLIED SUPERCONDUCTIVITY (PRINT)	A3	Atualizado
0090-6778	IEEE TRANSACTIONS ON COMMUNICATIONS (PRINT)	A1	Atualizado
2168-2267	IEEE TRANSACTIONS ON CYBERNETICS	A1	Atualizado
0018-9383	IEEE TRANSACTIONS ON ELECTRON DEVICES	A2	Atualizado
0196-2892	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	A1	Atualizado
0278-0046	IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS (1982. PRINT)	A1	Atualizado
0018-9448	IEEE TRANSACTIONS ON INFORMATION THEORY	A1	Atualizado
0018-9456	IEEE TRANSACTIONS ON INSTRUMENTATION AND MEASUREMENT	A1	Atualizado
0018-9464	IEEE TRANSACTIONS ON MAGNETICS	A3	Atualizado
0018-9480	IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES	A1	Atualizado
1536-1241	IEEE TRANSACTIONS ON NANOBIOSCIENCE	A2	Atualizado
1534-4320	IEEE TRANSACTIONS ON NEURAL SYSTEMS AND REHABILITATION ENGINEERING	A1	Atualizado
0018-9499	IEEE TRANSACTIONS ON NUCLEAR SCIENCE	A2	Atualizado
0093-3813	IEEE TRANSACTIONS ON PLASMA SCIENCE	B1	Atualizado
2156-342X	IEEE TRANSACTIONS ON TERAHERTZ SCIENCE AND TECHNOLOGY	A3	Atualizado
0885-3010	IEEE TRANSACTIONS ON ULTRASONICS, FERROELECTRICS, AND FREQUENCY CONTROL	A1	Atualizado
1525-8955	IEEE TRANSACTIONS ON ULTRASONICS, FERROELECTRICS, AND FREQUENCY CONTROL	A1	Atualizado
1751-8725	IET MICROWAVES, ANTENNAS & PROPAGATION (PRINT)	A3	Atualizado
1751-8741	IET NANOBIOTECHNOLOGY (PRINT)	A4	Atualizado
1023-666X	IJPAC. INTERNATIONAL JOURNAL OF POLYMER ANALYSIS AND CHARACTERIZATION (PRINT)	A3	Atualizado
1826-9885	IL NUOVO CIMENTO DELLA SOCIETÀ ITALIANA DI FISICA. C. GEOPHYSICS AND SPACE PHYSICS (ONLINE)	C	Atualizado
2179-8427	IMAGENS DA EDUCAÇÃO	A4	Atualizado
2233-7830	IMAGING SCIENCE IN DENTISTRY	A4	Atualizado
1071-2690	IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY. ANIMAL (PRINT)	B2	Atualizado
1647-3582	INDAGATIO DIDACTICA	A3	Atualizado
0971-0426	INDIAN JOURNAL OF FIBRE AND TEXTILE RESEARCH (PRINT)	B2	Atualizado
0973-1458	INDIAN JOURNAL OF PHYSICS (2004)	B1	Atualizado
0019-5596	INDIAN JOURNAL OF PURE & APPLIED PHYSICS	A2	Atualizado
0888-5885	INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH	A1	Atualizado
0926-6690	INDUSTRIAL CROPS AND PRODUCTS (PRINT)	A1	Atualizado
0036-8792	INDUSTRIAL LUBRICATION AND TRIBOLOGY	B1	Atualizado
1567-1348	INFECTION, GENETICS AND EVOLUTION (PRINT)	A2	Atualizado
2468-0427	INFECTIOUS DISEASE MODELLING	A3	Atualizado
1871-5265	INFECTIOUS DISORDERS. DRUG TARGETS	B2	Atualizado
1981-8920	INFORMAÇÃO & INFORMAÇÃO	A2	Atualizado
2525-3468	INFORMAÇÃO EM PAUTA	A4	Atualizado
1516-084X	INFORMÁTICA NA EDUCAÇÃO (IMPRESSO)	B1	Atualizado
0306-4573	INFORMATION PROCESSING & MANAGEMENT	A1	Atualizado
0020-0255	INFORMATION SCIENCES	A1	Atualizado
0020-1383	INJURY	A2	Atualizado
0719-7500	INNOVARE - REVISTA ELECTRÓNICA DE EDUCACIÓN SUPERIOR	B4	Atualizado
1466-8564	INNOVATIVE FOOD SCIENCE & EMERGING TECHNOLOGIES	A1	Atualizado
0020-1669	INORGANIC CHEMISTRY	A1	Atualizado
1387-7003	INORGANIC CHEMISTRY COMMUNICATIONS	A3	Atualizado
2052-1553	INORGANIC CHEMISTRY FRONTIERS	A1	Atualizado
0020-1693	INORGANICA CHIMICA ACTA (TESTO STAMPATO)	A2	Atualizado
2525-3476	INOVAÇÃO E FORMAÇÃO, REVISTA DO NÚCLEO DE EDUCAÇÃO A DISTÂNCIA DA UNIVERSIDADE ESTADUAL PAULISTA – NEAD/UNESP	B1	Atualizado
0965-1748	INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY	A1	Atualizado
0020-1812	INSECTES SOCIAUX (PRINTED ED.)	A3	Atualizado
1735-1472	INT J ENVIRON SCI TE	A2	Atualizado
1757-9694	INTEGRATIVE BIOLOGY: A NEW JOURNAL OF QUANTITATIVE BIOSCIENCES FROM NANO TO MACRO	A2	Atualizado
0378-1844	INTERCIENCIA (CARACAS)	B2	Atualizado
2318-9401	INTERETHNIC@ - REVISTA DE ESTUDOS EM RELAÇÕES INTERÉTNICAS	B3	Atualizado
2177-7691	INTERFACES DA EDUCAÇÃO	A2	Atualizado
0966-9795	INTERMETALLICS (BARKING)	A3	Atualizado
1809-9777	INTERNATIONAL ARCHIVES OF OTORHINOLARYNGOLOGY (PRINT)	B1	Atualizado
0964-8305	INTERNATIONAL BIODETERIORATION & BIODEGRADATION	A1	Atualizado
0958-6946	INTERNATIONAL DAIRY JOURNAL	A2	Atualizado
1365-2591	INTERNATIONAL ENDODONTIC JOURNAL ONLINE	A1	Atualizado
0143-2885	INTERNATIONAL ENDODONTIC JOURNAL (PRINT)	A1	Atualizado
0020-6814	INTERNATIONAL GEOLOGY REVIEW	A1	Atualizado
2372-4501	INTERNATIONAL HIGHER EDUCATION	A2	Atualizado
1567-5769	INTERNATIONAL IMMUNOPHARMACOLOGY (PRINT)	A2	Atualizado
0268-3768	INTERNATIONAL JOURNAL, ADVANCED MANUFACTURING TECHNOLOGY	A2	Atualizado
1475-9276	INTERNATIONAL JOURNAL FOR EQUITY IN HEALTH (ONLINE)	A2	Atualizado
2411-2933	INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH	C	Atualizado
2411-3123	INTERNATIONAL JOURNAL FOR INNOVATION EDUCATION AND RESEARCH	C	Atualizado
2349-6495	INTERNATIONAL JOURNAL OF ADVANCED ENGINEERING RESEARCH AND SCIENCE	C	Atualizado
1433-3015	INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY (INTERNET)	A2	Atualizado
2320-5407	INTERNATIONAL JOURNAL OF ADVANCED RESEARCH	C	Atualizado
1475-472X	INTERNATIONAL JOURNAL OF AEROACOUSTICS	A3	Atualizado
1687-5966	INTERNATIONAL JOURNAL OF AEROSPACE ENGINEERING (PRINT)	A4	Atualizado
2313-5069	INTERNATIONAL JOURNAL OF AFRICAN HIGHER EDUCATION	C	Atualizado
2291-8639	INTERNATIONAL JOURNAL OF ANALYSIS AND APPLICATIONS	B2	Atualizado
1687-5877	INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (ONLINE)	A4	Atualizado
1687-5869	INTERNATIONAL JOURNAL OF ANTENNAS AND PROPAGATION (PRINT)	A4	Atualizado
0924-8579	INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS (PRINT)	A1	Atualizado
1546-542X	INTERNATIONAL JOURNAL OF APPLIED CERAMIC TECHNOLOGY	A3	Atualizado
1383-5416	INTERNATIONAL JOURNAL OF APPLIED ELECTROMAGNETICS AND MECHANICS	B1	Atualizado
2041-1286	INTERNATIONAL JOURNAL OF APPLIED GLASS SCIENCE (PRINT)	A3	Atualizado
1311-1728	INTERNATIONAL JOURNAL OF APPLIED MATHEMATICS	B3	Atualizado
1473-5504	INTERNATIONAL JOURNAL OF ASTROBIOLOGY (PRINT)	A3	Atualizado
2631-5017	INTERNATIONAL JOURNAL OF ATOMIC AND NUCLEAR PHYSICS	B4	Atualizado
2227-5053	INTERNATIONAL JOURNAL OF BASIC AND APPLIED SCIENCES	C	Atualizado
0218-1274	INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS IN APPLIED SCIENCES AND ENGINEERING	A3	Atualizado
1879-0003	INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES	A1	Atualizado
0141-8130	INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES	A1	Atualizado
2158-0510	INTERNATIONAL JOURNAL OF BIOMEDICINE	B3	Atualizado
2573-2838	INTERNATIONAL JOURNAL OF BIOSENSORS & BIOELECTRONICS	C	Atualizado
2578-3270	INTERNATIONAL JOURNAL OF CERAMIC ENGINEERING & SCIENCE	B3	Atualizado
1916-9698	INTERNATIONAL JOURNAL OF CHEMISTRY	B4	Atualizado
0098-9886	INTERNATIONAL JOURNAL OF CIRCUIT THEORY AND APPLICATIONS (PRINT)	A3	Atualizado
0899-8418	INTERNATIONAL JOURNAL OF CLIMATOLOGY	A1	Atualizado
2395-6429	INTERNATIONAL JOURNAL OF CURRENT MEDICAL AND PHARMACEUTICAL RESEARCH	C	Atualizado
0975-833X	INTERNATIONAL JOURNAL OF CURRENT RESEARCH	C	Atualizado
1687-8728	INTERNATIONAL JOURNAL OF DENTISTRY (PRINT)	A3	Atualizado
2230-9926	INTERNATIONAL JOURNAL OF DEVELOPMENT RESEARCH	C	Atualizado
1437-3254	INTERNATIONAL JOURNAL OF EARTH SCIENCES (1999. PRINT)	A2	Atualizado
1452-3981	INTERNATIONAL JOURNAL OF ELECTROCHEMICAL SCIENCE (ONLINE)	B1	Atualizado
2326-957X	INTERNATIONAL JOURNAL OF ENERGY AND POWER ENGINEERING	C	Atualizado
0363-907X	INTERNATIONAL JOURNAL OF ENERGY RESEARCH (PRINT)	A1	Atualizado
2319-6734	INTERNATIONAL JOURNAL OF ENGINEERING AND SCIENCE INVENTION	C	Atualizado
2395-6992	INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & SCIENCE	C	Atualizado
2278-0181	INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH & TECHNOLOGY	C	Atualizado
2248-9622	INTERNATIONAL JOURNAL OF ENGINEERING RESEARCH AND APPLICATIONS (IJERA)	C	Atualizado
1735-6865	INTERNATIONAL JOURNAL OF ENVIRONMENTAL OF RESEARCH (PRINT)	A4	Atualizado
2631-505X	INTERNATIONAL JOURNAL OF EXPERIMENTAL SPECTROSCOPIC TECHNIQUES,	B3	Atualizado
0142-1123	INTERNATIONAL JOURNAL OF FATIGUE	A1	Atualizado
1556-3758	INTERNATIONAL JOURNAL OF FOOD ENGINEERING	A4	Atualizado
0168-1605	INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY	A1	Atualizado
1094-2912	INTERNATIONAL JOURNAL OF FOOD PROPERTIES	A3	Atualizado
1365-2621	INTERNATIONAL JOURNAL OF FOOD SCIENCE & TECHNOLOGY (ONLINE)	A2	Atualizado
0950-5423	INTERNATIONAL JOURNAL OF FOOD SCIENCE & TECHNOLOGY (PRINT)	A2	Atualizado
0219-8878	INTERNATIONAL JOURNAL OF GEOMETRIC METHODS IN MODERN PHYSICS	B1	Atualizado
1543-5075	INTERNATIONAL JOURNAL OF GREEN ENERGY	A2	Atualizado
0142-727X	INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW	A2	Atualizado
0017-9310	INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER	A1	Atualizado
0360-3199	INTERNATIONAL JOURNAL OF HYDROGEN ENERGY	A1	Atualizado
0265-6736	INTERNATIONAL JOURNAL OF HYPERTHERMIA	A2	Atualizado
2278-5299	INTERNATIONAL JOURNAL OF LATEST RESEARCH IN SCIENCE AND TECHNOLOGY	C	Atualizado
1387-3806	INTERNATIONAL JOURNAL OF MASS SPECTROMETRY (PRINT)	A3	Atualizado
1862-5282	INTERNATIONAL JOURNAL OF MATERIALS RESEARCH	B1	Atualizado
0020-739X	INTERNATIONAL JOURNAL OF MATHEMATICAL EDUCATION IN SCIENCE AND TECHNOLOGY	A4	Atualizado
1793-9623	INTERNATIONAL JOURNAL OF MODELING, SIMULATION, AND SCIENTIFIC COMPUTING	B2	Atualizado
2375-3781	INTERNATIONAL JOURNAL OF MODERN EDUCATION RESEARCH	C	Atualizado
0217-751X	INTERNATIONAL JOURNAL OF MODERN PHYSICS A	A4	Atualizado
0217-9792	INTERNATIONAL JOURNAL OF MODERN PHYSICS B	B2	Atualizado
0129-1831	INTERNATIONAL JOURNAL OF MODERN PHYSICS C	A4	Atualizado
0218-2718	INTERNATIONAL JOURNAL OF MODERN PHYSICS D	A3	Atualizado
0218-3013	INTERNATIONAL JOURNAL OF MODERN PHYSICS E	A4	Atualizado
1422-0067	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES (ONLINE)	A2	Atualizado
0717-9502	INTERNATIONAL JOURNAL OF MORPHOLOGY (ONLINE)	B3	Atualizado
0717-9367	INTERNATIONAL JOURNAL OF MORPHOLOGY (PRINT)	B3	Atualizado
1178-2013	INTERNATIONAL JOURNAL OF NANOMEDICINE (ONLINE)	A1	Atualizado
1475-7435	INTERNATIONAL JOURNAL OF NANOTECHNOLOGY	B2	Atualizado
2050-6902	INTERNATIONAL JOURNAL OF NONLINEAR DYNAMICS AND CONTROL (IMPRESSO)	C	Atualizado
0020-7462	INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS	A1	Atualizado
0307-0565	INTERNATIONAL JOURNAL OF OBESITY	A1	Atualizado
1573-3149	INTERNATIONAL JOURNAL OF PEPTIDE RESEARCH AND THERAPEUTICS (PRINT)	B2	Atualizado
2250-1029	INTERNATIONAL JOURNAL OF PHARMACEUTICAL AND PHYTOPHARMACOLOGICAL RESEARCH	B3	Atualizado
0378-5173	INTERNATIONAL JOURNAL OF PHARMACEUTICS (PRINT)	A1	Atualizado
1110-662X	INTERNATIONAL JOURNAL OF PHOTOENERGY (PRINT)	A4	Atualizado
1522-6514	INTERNATIONAL JOURNAL OF PHYTOREMEDIATION	A2	Atualizado
0749-6419	INTERNATIONAL JOURNAL OF PLASTICITY	A1	Atualizado
